6
0 2 4
1 13 0
2 0 1
3 18 4
4 18 3
5 18 5
6 10 5
7 1 5
8 2 0
9 2 1
10 18 0
11 19 2
12 12 3
13 7 0
14 19 0
15 7 5
16 1 1
17 3 3
18 1 3
19 19 5
20 15 4
21 18 2
22 2 3
23 6 0
24 4 5
25 4 1
26 9 0
27 4 4
28 0 5
29 1 2
30 19 4
31 0 3
32 6 2
33 13 3
34 10 4
35 0 2
36 18 1
37 3 4
38 13 2
39 17 3
40 12 5
41 16 3
42 3 2
43 16 0
44 17 0
45 17 4
46 10 1
47 10 0
48 9 5
49 13 5
50 5 3
51 5 5
52 5 0
53 4 0
54 3 1
55 11 2
56 11 4
57 12 1
58 5 2
59 16 1
60 8 1
61 4 2
62 10 3
63 5 4
64 19 1
65 2 5
66 12 2
67 17 2
68 14 0
69 5 1
70 14 5
71 8 2
72 8 0
73 7 1
74 8 4
75 14 1
76 8 3
77 15 5
78 12 4
79 17 1
80 0 0
81 2 2
82 17 5
83 12 0
84 19 3
85 4 3
86 0 4
87 13 1
88 3 0
89 13 4
90 7 3
91 1 4
92 15 2
93 14 4
94 14 2
95 3 5
96 1 0
97 8 5
98 7 4
99 7 2
