8
0 1 2
1 17 6
2 9 0
3 18 7
4 6 4
5 7 1
6 10 2
7 0 4
8 19 5
9 4 0
10 0 2
11 11 4
12 16 0
13 19 0
14 11 6
15 7 4
16 18 0
17 6 1
18 3 0
19 1 7
20 11 0
21 12 2
22 16 6
23 6 7
24 17 7
25 4 1
26 19 3
27 7 7
28 10 3
29 3 2
30 16 4
31 16 2
32 0 0
33 9 2
34 9 1
35 13 7
36 11 7
37 9 7
38 10 7
39 3 5
40 4 5
41 0 1
42 7 3
43 0 6
44 11 3
45 3 4
46 1 4
47 3 3
48 12 6
49 1 0
50 10 5
51 9 5
52 8 7
53 16 7
54 19 6
55 17 3
56 13 5
57 7 5
58 9 6
59 3 1
60 14 4
61 15 3
62 18 6
63 6 0
64 13 6
65 16 1
66 2 0
67 11 1
68 18 2
69 1 5
70 18 4
71 5 2
72 19 2
73 17 2
74 2 3
75 17 5
76 17 4
77 4 4
78 2 5
79 1 6
80 7 0
81 10 6
82 5 1
83 17 1
84 18 1
85 4 2
86 5 6
87 6 6
88 13 1
89 5 5
90 3 6
91 18 5
92 10 4
93 5 3
94 9 4
95 17 0
96 7 2
97 3 7
98 19 1
99 13 3
